Claim Number,Claim Feature,Policy Number,Policy Effective Date,Loss Description,Type of injury,Loss state,Loss Date,Insured Company Name,Paid Indemnity,Paid DCC,Outstanding Indemnity,Outstanding DCC,Adjuster Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0047,Sidewalk Fall,POL-GL-567234,2024-03-01,Uneven sidewalk caused pedestrian fall,Bodily Injury,OH,2024-04-20,Downtown Development Corp,41000,7500,0,0,"04/20/2024 - TRIP AND FALL: Elderly woman tripped on raised sidewalk section. 2-inch height differential. LIABILITY ASSESSMENT: Very High (90%) - Multiple prior complaints documented. | 04/21/2024 - INVESTIGATION: Sidewalk condition reported to property manager 6 times in past year. Spray paint markings showing awareness. Clear notice of hazard. | 04/25/2024 - INJURIES: Dorothy Smith (72yo) - broken wrist (distal radius fracture), facial lacerations. Surgery required. INJURY SEVERITY SCORE: 5/10 considering age. | 05/01/2024 - COVERAGE: Premises liability applies. Prior similar claim at different property. Pattern of deferred maintenance emerging. | 05/10/2024 - MEDICAL: $35K including surgery and physical therapy. Good recovery expected. Retired teacher, minimal lost wages. | 05/20/2024 - SETTLEMENT: $41K inclusive settlement. Factors: Clear liability, sympathetic elderly plaintiff, but good recovery and minimal economic loss. | 06/01/2024 - CLOSED: Comprehensive sidewalk repair program initiated at all properties. City citations for sidewalk hazards also resolved.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0048,Cargo Damage,POL-GL-890567,2023-10-01,Moving company damaged antique furniture,Property Damage,MA,2024-05-25,Boston Moving & Storage,65000,8000,0,0,"05/25/2024 - MOVING DAMAGE: 18th century antiques damaged during residential move. Improper handling and packing. LIABILITY: Clear (100%) - No blankets used, untrained crew. | 05/26/2024 - INVESTIGATION: Crew admitted rushing due to overtime concerns. No special handling despite customer noting antiques. Multiple pieces affected. | 05/30/2024 - APPRAISAL: Professional appraiser valued damaged items at $60K diminution. Items still functional but collector value destroyed. | 06/05/2024 - COVERAGE: Property damage in care/custody - limited sublimit of $100K applies. Prior similar claim concerning. | 06/15/2024 - EXPERT OPINION: Restoration possible for some pieces but won't restore full antique value. Authentication affected. | 06/25/2024 - SETTLEMENT: Paid $65K including emotional distress component (family heirlooms). Customer devastated but reasonable. | 07/05/2024 - CLOSED: Antique handling certification now required. Specific crews designated for high-value moves.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0049,Workplace Violence,POL-GL-123789,2024-01-01,Employee injured by disgruntled former employee,Bodily Injury,TX,2024-06-30,Houston Tech Solutions,85000,28000,115000,25000,"06/30/2024 - WORKPLACE SHOOTING: Terminated employee returned with firearm, shot current employee. Security failures alleged. LIABILITY ASSESSMENT: High (75%) - Threats reported but not acted upon. | 07/01/2024 - SECURITY REVIEW: No metal detectors, no security guards. Terminated employee had made threats via email. HR aware but didn't involve police. | 07/05/2024 - INJURIES: Current employee Jake Martinez shot in shoulder. Surgery required, PTSD severe. Multiple witnesses traumatized. INJURY SEVERITY SCORE: 7/10 physical, 9/10 with psychological. | 07/10/2024 - COVERAGE ANALYSIS: Assault & battery endorsement applies. Workers comp exclusive remedy issues. Third-party claim against employer for negligent security. | 07/15/2024 - THIRD PARTY CLAIM: Injured employee suing employer outside WC for gross negligence in security. Threats created duty to protect. | 07/20/2024 - PARTIAL PAYMENT: Medical bills paid $85K. Negotiating pain & suffering component. PTSD treatment ongoing. | ONGOING: Criminal case pending against shooter. Civil liability depends partly on criminal outcome. Reserve additional $115K.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0050,Trade Dress,POL-GL-456123,2024-02-01,Restaurant copied competitor's unique interior design,Advertising Injury,NY,2024-03-18,Manhattan Dining Concepts,0,32000,125000,30000,"03/18/2024 - TRADE DRESS CLAIM: Competitor alleges exact copying of distinctive restaurant decor and layout. LIABILITY: High - Designer admits using competitor photos as template. | 03/19/2024 - INVESTIGATION: Side-by-side comparison shows near-identical design elements: lighting, seating, color scheme, layout. Clear appropriation. | 03/25/2024 - COVERAGE: Advertising injury may cover trade dress infringement. $1M limit. Complex coverage question - reviewing case law. | 04/01/2024 - LITIGATION: S.D.N.Y. #1:24-cv-02468. Seeking injunction and damages. Federal court due to Lanham Act claims. | 04/15/2024 - DEFENSE COUNSEL: Debevoise & Plimpton retained. Arguing functionality defense - design elements not protectable. Uphill battle. | 05/01/2024 - DISCOVERY: Designer's emails show intentional copying. 'Make it just like [competitor] but different enough to avoid lawsuit.' Damaging. | ONGOING: Settlement negotiations focused on redesign timeline. May need to completely renovate interior. Reserve $125K plus renovation costs.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0051,Elevator Accident,POL-GL-789654,2023-09-01,Elevator sudden drop caused injuries,Bodily Injury,IL,2024-01-12,Chicago Property Management,135000,28000,0,0,"01/12/2024 - ELEVATOR MALFUNCTION: Car dropped 3 floors before emergency brake engaged. 4 passengers injured. LIABILITY: Very High (90%) - Maintenance contractor missed critical inspection. | 01/13/2024 - INJURIES: Most serious - Patricia Wong (58yo) back injury requiring fusion surgery. Others: soft tissue, psychological trauma. INJURY SEVERITY SCORES: Wong 7/10, others 3-4/10. | 01/15/2024 - INVESTIGATION: Maintenance contractor falsified inspection records. Cable wear obvious but not documented. Criminal negligence possible. | 01/20/2024 - COVERAGE CONFIRMED: Premises liability clear. Maintenance contractor is additional insured. $3M limit adequate for multiple claimants. | 02/01/2024 - MEDICAL COSTS: Combined $115K. Wong's surgery and rehabilitation most expensive. Permanent impairment 15% whole person. | 02/15/2024 - GLOBAL SETTLEMENT: All 4 claims resolved for $135K total. Wong $85K, others $50K combined. Avoided litigation with quick resolution. | 03/01/2024 - CLOSED: New maintenance contractor hired. Monthly inspections now required with photographic documentation.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0052,Loading Dock,POL-GL-234345,2024-04-01,Forklift struck visitor at loading dock,Bodily Injury,PA,2024-05-15,Distribution Center LLC,67000,15000,0,0,"05/15/2024 - LOADING DOCK ACCIDENT: Delivery driver struck by forklift. No safety barriers between pedestrian and vehicle areas. LIABILITY ASSESSMENT: High (80%) - Known dangerous condition. | 05/16/2024 - INJURIES: Thomas Brown (44yo) - fractured tibia, extensive soft tissue damage. Surgery required, 3-month recovery. INJURY SEVERITY SCORE: 6/10. | 05/20/2024 - INVESTIGATION: Visitor in unauthorized area but no warnings posted, no physical barriers. Industry standard requires separation. | 05/25/2024 - COVERAGE: Premises liability applies. Comparative negligence (20% visitor) but still strong liability. | 06/05/2024 - MEDICAL: Surgery successful. $58K in bills. Delivery driver lost wages $15K. Union member with good benefits. | 06/15/2024 - SETTLEMENT: $67K considering shared fault. Visitor acknowledged entering restricted area but lack of warnings critical. | 06/25/2024 - CLOSED: Physical barriers installed. Warning systems (lights/alarms) added. Visitor safety protocol implemented.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0053,Window Washing,POL-GL-567876,2023-07-01,Window washer equipment damaged parked cars,Property Damage,CA,2024-02-22,High Rise Maintenance Co,42000,6500,0,0,"02/22/2024 - EQUIPMENT FAILURE: Scaffolding collapsed from 10th floor, damaged 3 vehicles below. No injuries. LIABILITY: Clear (100%) - Cable wear not detected, inspection overdue. | 02/23/2024 - INVESTIGATION: Scaffolding cable showed clear wear patterns. Last inspection 8 months ago, required every 3 months. Documentation falsified. | 02/28/2024 - DAMAGE ASSESSMENT: 3 luxury vehicles damaged - BMW ($18K), Mercedes ($15K), Tesla ($9K). All repairable but diminished value claims likely. | 03/05/2024 - COVERAGE CONFIRMED: Property damage to others covered. No care/custody issue. Prior claim for dropped equipment concerning. | 03/15/2024 - QUICK RESOLUTION: All 3 vehicle owners paid promptly including rental cars. Total $42K. Avoided diminished value arguments. | 03/25/2024 - CLOSED: Equipment inspection protocols enhanced. Third-party inspection service retained. State investigation avoided.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0054,Pesticide Exposure,POL-GL-890234,2024-01-01,Pest control treatment sickened office workers,Bodily Injury,NJ,2024-04-05,Garden State Pest Control,58000,18000,0,0,"04/05/2024 - CHEMICAL EXPOSURE: Over-application of pesticide in office building. 8 workers became ill. LIABILITY ASSESSMENT: Very High (95%) - Technician used 3x recommended concentration. | 04/06/2024 - MEDICAL RESPONSE: 3 hospitalized with severe respiratory distress. 5 treated and released. All experiencing ongoing symptoms. INJURY SEVERITY SCORES: 3-6/10 range. | 04/10/2024 - INVESTIGATION: Technician was new, inadequate training documented. No ventilation plan. Applied during business hours against protocol. | 04/15/2024 - COVERAGE: Bodily injury from operations covered. Pollution exclusion doesn't apply to pesticide application. $2M limit adequate. | 04/25/2024 - MEDICAL COSTS: $48K total for 8 claimants. All recovered but some with chemical sensitivity ongoing. Lost wages additional $15K. | 05/05/2024 - SETTLEMENT: $58K total includes medical, lost wages, and modest pain/suffering. Quick resolution avoided regulatory scrutiny. | 05/15/2024 - CLOSED: Retraining completed for all technicians. New safety protocols require evening application only.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0055,Ice Dam,POL-GL-345567,2023-11-01,Ice dam from roof caused water damage to tenant,Property Damage,MN,2024-01-20,Northern Property Group,38000,5500,0,0,"01/20/2024 - ICE DAM DAMAGE: Poor roof insulation caused ice dam. Water backed up into tenant's unit. LIABILITY: High (85%) - Known insulation issue not addressed. | 01/21/2024 - DAMAGE ASSESSMENT: Tenant's electronics, furniture, clothing destroyed. High-end gaming setup and music equipment. Total loss $33K. | 01/25/2024 - COVERAGE CONFIRMED: Property damage from premises ownership covered. No exclusions. Minnesota law favorable to tenants. | 02/01/2024 - TENANT DISPLACEMENT: Had to relocate for 2 weeks during repairs. Hotel and meal costs $3K. Reasonable temporary housing. | 02/10/2024 - QUICK SETTLEMENT: Paid $38K total - property damage plus relocation costs plus inconvenience. Maintained good tenant relationship. | 02/20/2024 - CLOSED: Roof insulation upgraded building-wide. Ice dam prevention system installed. $45K investment to prevent recurrence.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0056,Martial Arts,POL-GL-678789,2024-02-01,Student injured during martial arts class,Bodily Injury,TX,2024-03-25,Austin Martial Arts Academy,22000,7500,0,0,"03/25/2024 - TRAINING INJURY: Student's arm broken during sparring exercise. Instructor paired mismatched skill levels. LIABILITY: Moderate (70%) - Assumption of risk but negligent supervision. | 03/26/2024 - INVESTIGATION: Brown belt paired with white belt. Instructor busy with other students. Excessive force used due to skill mismatch. | 03/30/2024 - MEDICAL: Jennifer Lee (28yo) - compound fracture requiring surgery. $19K medical bills. 8-week recovery, missed work as graphic designer. | 04/05/2024 - COVERAGE: Participant injury covered despite liability waiver. Texas law limits waiver enforcement. $1M limit. | 04/15/2024 - SETTLEMENT FACTORS: Quick resolution at $22K. Family wants to continue training. Good relationship with dojo important. | 04/25/2024 - CLOSED: Skill-based pairing requirements implemented. Additional instructors for busy classes. Incident used as teaching moment.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0057,Bounce House,POL-GL-901234,2023-08-01,Inflatable attraction collapsed at fair,Bodily Injury,AZ,2024-04-30,Fun Time Event Rentals,145000,35000,0,0,"04/30/2024 - BOUNCE HOUSE COLLAPSE: Improper anchoring in high winds. Structure tipped with 6 children inside. LIABILITY: Very High (90%) - Weather warnings ignored. | 05/01/2024 - INJURIES: 2 serious (head trauma, broken bones), 4 minor (bruises, sprains). Ages 4-10. INJURY SEVERITY SCORES: Two at 7/10, others 2-3/10. | 05/05/2024 - INVESTIGATION: Only 4 stakes used instead of required 16. Operator knew of wind advisory. Prior similar incident last year. | 05/10/2024 - COVERAGE: CGL covers. Aggregate erosion concern - this is 3rd bounce house claim in 2 years. Pattern of poor safety. | 05/20/2024 - MEDICAL: Combined $125K for all children. One child showing cognitive delays from head injury. Long-term monitoring needed. | 06/01/2024 - SETTLEMENT: Global resolution all families $145K. Structured settlement for head injury child. | 06/10/2024 - CLOSED: State considering enhanced regulations. Our insured voluntarily ceased operations. Insurance non-renewed.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0058,Parking Garage,POL-GL-234654,2024-03-01,Concrete fell from parking structure,Bodily Injury/Property Damage,MI,2024-05-20,Metro Parking Solutions,88000,22000,0,0,"05/20/2024 - STRUCTURAL FAILURE: Concrete chunk fell from ceiling, struck pedestrian and damaged vehicle. LIABILITY ASSESSMENT: Very High (95%) - Deferred maintenance, known spalling. | 05/21/2024 - INJURIES: Sarah Johnson (38yo) - head laceration requiring 15 stitches, concussion. Lucky to survive 20-pound concrete strike. INJURY SEVERITY SCORE: 6/10. | 05/25/2024 - ENGINEERING REPORT: Widespread spalling throughout structure. Maintenance deferred for 3 years to save money. Criminal negligence possible. | 06/01/2024 - COVERAGE: Both bodily injury and property damage covered under premises liability. Prior similar incident increases exposure. | 06/10/2024 - SETTLEMENT BREAKDOWN: $80K bodily injury (medical $25K, pain/suffering $55K), $8K vehicle damage (windshield, hood). Quick resolution. | 06/20/2024 - CLOSED: Emergency structural repairs completed citywide. Criminal charges pending against property manager. Lucky no fatality.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0059,Spray Tan,POL-GL-567987,2023-12-01,Allergic reaction to spray tan solution,Bodily Injury,FL,2024-06-10,Beach Glow Tanning Salon,15500,3500,0,0,"06/10/2024 - ALLERGIC REACTION: Customer severe reaction to spray tan chemicals despite disclosing allergies. LIABILITY: High (85%) - Failed to check ingredients against disclosed allergies. | 06/11/2024 - MEDICAL: Ashley Williams (24yo) - anaphylactic response requiring EpiPen and ER treatment. Wedding in 2 weeks, skin still blotchy. | 06/15/2024 - INVESTIGATION: Customer disclosed nut allergy. Solution contained almond oil derivative. Staff didn't check ingredients. No screening protocol. | 06/20/2024 - COVERAGE: Bodily injury from salon operations covered. Professional liability endorsement applies. $1M limit. | 06/25/2024 - SETTLEMENT: $15.5K covers medical ($8K), pain/suffering, and wedding photo editing costs. Bride devastated but reasonable. | 07/01/2024 - CLOSED: Mandatory allergy testing patch implemented. All solutions now clearly labeled with allergens. Staff retrained.",,,,,,,,,,,,,,,,,,,,,,,,,,
